epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4918.2,1.61062,1.18451,0.96246,0.7144,0.57575,0.63357,0.43553,1.60411,1.15954,0.97007,0.000233877,0.000233877,0.000233877
75,4981.97,1.59842,1.17093,0.96446,0.72673,0.57844,0.64043,0.44173,1.60391,1.14595,0.97109,0.000229026,0.000229026,0.000229026
76,5049.06,1.60587,1.18114,0.95445,0.71602,0.56855,0.63364,0.44147,1.58709,1.12993,0.96529,0.000224175,0.000224175,0.000224175
77,5114.63,1.58704,1.16241,0.95428,0.72055,0.59682,0.64077,0.44337,1.58681,1.13383,0.96633,0.000219324,0.000219324,0.000219324
78,5182.13,1.61416,1.17204,0.96185,0.72578,0.59143,0.64448,0.44516,1.58663,1.128,0.96412,0.000214473,0.000214473,0.000214473
79,5245.97,1.58783,1.14719,0.95467,0.70315,0.59056,0.63997,0.44334,1.57779,1.1293,0.96252,0.000209622,0.000209622,0.000209622
80,5309.82,1.60891,1.16009,0.96199,0.6981,0.60305,0.64444,0.44844,1.58402,1.12043,0.9654,0.000204771,0.000204771,0.000204771
81,5378.29,1.60027,1.15889,0.95285,0.72472,0.58506,0.64495,0.44699,1.56649,1.11692,0.96107,0.00019992,0.00019992,0.00019992
82,5442.38,1.57869,1.14326,0.95423,0.73566,0.58621,0.64877,0.43718,1.62957,1.13037,0.96958,0.000195069,0.000195069,0.000195069
83,5507.11,1.60072,1.15201,0.96102,0.73602,0.60903,0.66227,0.45355,1.58661,1.12443,0.96375,0.000190218,0.000190218,0.000190218
84,5571.06,1.59057,1.1449,0.95919,0.76054,0.60769,0.6652,0.46327,1.56314,1.11936,0.96022,0.000185367,0.000185367,0.000185367
85,5635.09,1.59414,1.14927,0.95404,0.72207,0.5971,0.65256,0.44816,1.57736,1.12532,0.961,0.000180516,0.000180516,0.000180516
86,5700.6,1.58678,1.14635,0.95319,0.72144,0.61449,0.66449,0.45932,1.5866,1.11492,0.96012,0.000175665,0.000175665,0.000175665
87,5765.4,1.58152,1.14569,0.9527,0.73954,0.60845,0.66585,0.46315,1.55753,1.09442,0.95936,0.000170814,0.000170814,0.000170814
88,5828.75,1.56967,1.12888,0.94848,0.71977,0.60841,0.65707,0.46078,1.56063,1.10333,0.95847,0.000165963,0.000165963,0.000165963
89,5892.58,1.56439,1.1279,0.94902,0.75415,0.60129,0.6708,0.4653,1.57538,1.10506,0.9605,0.000161112,0.000161112,0.000161112
90,5958.15,1.58619,1.13365,0.95526,0.75703,0.60404,0.66994,0.4636,1.5687,1.09842,0.95995,0.000156261,0.000156261,0.000156261
91,6021.71,1.56574,1.11519,0.95623,0.73269,0.61769,0.66638,0.46496,1.56842,1.08979,0.95878,0.00015141,0.00015141,0.00015141
92,6088.48,1.55623,1.10535,0.94691,0.71984,0.60998,0.66451,0.46468,1.56901,1.08506,0.95965,0.000146559,0.000146559,0.000146559
93,6155.82,1.56777,1.11018,0.94843,0.73086,0.60867,0.67105,0.47177,1.55757,1.08053,0.95501,0.000141708,0.000141708,0.000141708
94,6219.3,1.55838,1.10177,0.94542,0.7438,0.61039,0.66847,0.46745,1.5695,1.08315,0.95625,0.000136857,0.000136857,0.000136857
95,6284.05,1.55979,1.09582,0.94422,0.72196,0.62142,0.67038,0.46881,1.56032,1.07098,0.95618,0.000132006,0.000132006,0.000132006
96,6347.51,1.56191,1.10635,0.94616,0.76082,0.60519,0.66892,0.46704,1.56358,1.07512,0.95726,0.000127155,0.000127155,0.000127155
97,6413.18,1.54174,1.08026,0.94409,0.78555,0.60276,0.67255,0.47354,1.55881,1.07006,0.95528,0.000122304,0.000122304,0.000122304
98,6487.07,1.55959,1.09309,0.9456,0.75817,0.6196,0.67582,0.47124,1.57156,1.07531,0.95689,0.000117453,0.000117453,0.000117453
99,6552.7,1.55009,1.0977,0.94769,0.76343,0.61309,0.68373,0.47006,1.56714,1.06979,0.95649,0.000112602,0.000112602,0.000112602
100,6622.62,1.53974,1.08321,0.94137,0.74955,0.61601,0.68141,0.47495,1.55329,1.05478,0.95208,0.000107751,0.000107751,0.000107751
101,6687.53,1.53437,1.07598,0.94279,0.76353,0.61812,0.67604,0.47546,1.55867,1.06626,0.9543,0.0001029,0.0001029,0.0001029
102,6754.32,1.53898,1.09854,0.94264,0.74542,0.62707,0.68621,0.4791,1.55218,1.05936,0.95343,9.8049e-05,9.8049e-05,9.8049e-05
103,6823.15,1.5384,1.0809,0.94684,0.73313,0.63046,0.67841,0.4797,1.53376,1.05199,0.95071,9.3198e-05,9.3198e-05,9.3198e-05
104,6892.68,1.5434,1.08428,0.9393,0.73964,0.63444,0.68593,0.48199,1.54109,1.06384,0.95111,8.8347e-05,8.8347e-05,8.8347e-05
105,6969.68,1.54697,1.0904,0.94555,0.76515,0.6229,0.68114,0.48427,1.54439,1.05695,0.9524,8.3496e-05,8.3496e-05,8.3496e-05
106,7052.54,1.53487,1.08592,0.93998,0.74547,0.63173,0.6881,0.48447,1.53595,1.06146,0.95133,7.8645e-05,7.8645e-05,7.8645e-05
107,7121.13,1.51904,1.06581,0.94388,0.76795,0.6223,0.68455,0.48355,1.53861,1.05279,0.95032,7.3794e-05,7.3794e-05,7.3794e-05
108,7193.5,1.52365,1.07121,0.94029,0.74395,0.6311,0.69127,0.48769,1.5416,1.05146,0.94993,6.8943e-05,6.8943e-05,6.8943e-05
109,7267.07,1.52285,1.07148,0.94079,0.78633,0.61807,0.68727,0.48214,1.54094,1.05177,0.95029,6.4092e-05,6.4092e-05,6.4092e-05
110,7335.74,1.51573,1.05293,0.93859,0.74504,0.64011,0.69221,0.48497,1.54717,1.05018,0.95149,5.9241e-05,5.9241e-05,5.9241e-05
111,7400.38,1.56222,1.09171,0.93986,0.73688,0.62072,0.68006,0.47993,1.54562,1.06791,0.95477,5.439e-05,5.439e-05,5.439e-05
112,7464.45,1.57633,1.09754,0.94211,0.73639,0.62807,0.67816,0.47905,1.5404,1.06686,0.95223,4.9539e-05,4.9539e-05,4.9539e-05
113,7525.84,1.56138,1.08493,0.93966,0.7502,0.62294,0.68375,0.48077,1.53988,1.05921,0.95237,4.4688e-05,4.4688e-05,4.4688e-05
114,7589.14,1.56323,1.07665,0.9384,0.73361,0.62782,0.67963,0.48078,1.53841,1.06192,0.95202,3.9837e-05,3.9837e-05,3.9837e-05
115,7655.23,1.57426,1.08799,0.93522,0.72625,0.63891,0.68706,0.47834,1.55532,1.06773,0.95524,3.4986e-05,3.4986e-05,3.4986e-05
116,7719.98,1.5536,1.07207,0.93633,0.74004,0.63831,0.68742,0.48174,1.54005,1.06176,0.95229,3.0135e-05,3.0135e-05,3.0135e-05
117,7783.03,1.54293,1.05676,0.93285,0.75727,0.62811,0.68954,0.48902,1.53405,1.05429,0.9512,2.5284e-05,2.5284e-05,2.5284e-05
118,7846.08,1.55157,1.06524,0.93292,0.75927,0.62558,0.68426,0.4815,1.53986,1.05866,0.95177,2.0433e-05,2.0433e-05,2.0433e-05
119,7910.28,1.55384,1.06616,0.93705,0.74047,0.64106,0.68581,0.48176,1.54639,1.05792,0.95339,1.5582e-05,1.5582e-05,1.5582e-05
120,7975.16,1.52581,1.05434,0.93505,0.74194,0.64133,0.689,0.48572,1.53605,1.05927,0.95149,1.0731e-05,1.0731e-05,1.0731e-05
